company,category,address,city,district,postalCode,phone,email,all_emails,website,domain,rating,reviews,priority_score,placeId,url,searchString,personalization_snippet
Kollár Gumi - Gumiszervíz és felni javítás,Gumiabroncs-szaküzlet,"Budapest, Virág Benedek u. 79, 1204 Magyarország",Budapest,XX. kerület,1204,+36 20 960 5060,kollargumi@gmail.com,kollargumi@gmail.com;kollarautokft@gmail.com,http://www.hasznaltgumi.hu/,kollargumi.hu,4.6,437,483.0,ChIJvfx8cJ7CQUcRIAMUxXko2Mg,https://www.google.com/maps/search/?api=1&query=Koll%C3%A1r%20Gumi%20-%20Gumiszerv%C3%ADz%20%C3%A9s%20felni%20jav%C3%ADt%C3%A1s&query_place_id=ChIJvfx8cJ7CQUcRIAMUxXko2Mg,autó szerviz,XX. kerület – gumiabroncs-szaküzlet
Műszaki vizsgáztatás | 4 Tölgyesi Autójavító Kft.,Autószerelő,"Budapest, Szent László út 99, 1135 Magyarország",Budapest,XIII. kerület,1135,+36 70 363 3217,info@tolgyesiautoszerviz.hu,info@tolgyesiautoszerviz.hu,https://www.tolgyesiautoszerviz.hu/,tolgyesiautoszerviz.hu,4.4,435,479.0,ChIJy53t1rzbQUcR4MZR8COS6Xw,https://www.google.com/maps/search/?api=1&query=M%C5%B1szaki%20vizsg%C3%A1ztat%C3%A1s%20%7C%204%20T%C3%B6lgyesi%20Aut%C3%B3jav%C3%ADt%C3%B3%20Kft.&query_place_id=ChIJy53t1rzbQUcR4MZR8COS6Xw,autószerviz,XIII. kerület – autószerelő
Ott Service Kft.,Autójavító,"Budapest, Neszmélyi út 35, 1112 Magyarország",Budapest,XI. kerület,1112,+36 20 669 0692,ottservicekft@gmail.com,ottservicekft@gmail.com,http://ottservice.hu/,ottservice.hu,4.8,424,472.0,ChIJt-tSm-jdQUcRhxdRC-fZ4eA,https://www.google.com/maps/search/?api=1&query=Ott%20Service%20Kft.&query_place_id=ChIJt-tSm-jdQUcRhxdRC-fZ4eA,gumi csere,XI. kerület – autójavító
"Kaptás Autószerviz Kft- Műszaki vizsgaállomás, Eredetiségvizsgálat, Futóműállítás, Diagnosztika, Gumiszerelés XI. Kerület",Autóellenőrző állomás,"Budapest, Than Károly u. 19, 1119 Magyarország",Budapest,XI. kerület,1119,+36 20 336 0226,KAPTASSZERVIZ2@GMAIL.COM,KAPTASSZERVIZ2@GMAIL.COM;kaptasszerviz2@gmail.com;kaptasvizsga@gmail.com,http://kaptasszerviz.hu/,kaptasszerviz.hu,4.8,418,466.0,ChIJ_1VNhIDdQUcRsTPc8OyVA9Y,https://www.google.com/maps/search/?api=1&query=Kapt%C3%A1s%20Aut%C3%B3szerviz%20Kft-%20M%C5%B1szaki%20vizsga%C3%A1llom%C3%A1s%2C%20Eredetis%C3%A9gvizsg%C3%A1lat%2C%20Fut%C3%B3m%C5%B1%C3%A1ll%C3%ADt%C3%A1s%2C%20Diagnosztika%2C%20Gumiszerel%C3%A9s%20XI.%20Ker%C3%BClet&query_place_id=ChIJ_1VNhIDdQUcRsTPc8OyVA9Y,gumi csere,XI. kerület – autóellenőrző állomás
Gumi-Profi Team Kft. - Bp III.,Gumiabroncs-szaküzlet,"Budapest, Csillaghegyi út 22, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 430 6767,info@gumi-profi.hu,info@gumi-profi.hu;bp13@gumi-profi.hu;csillaghegy@gumi-profi.hu;papa@gumi-profi.hu;pecs@gumi-profi.hu;molnar.balazs@gumi-profi.hu,https://www.gumiprofi.hu/szervizpontok/gumiszerviz-iii,gumi-profi.hu,4.4,419,463.0,ChIJ06G_PwrZQUcRbvKB4NXK3UM,https://www.google.com/maps/search/?api=1&query=Gumi-Profi%20Team%20Kft.%20-%20Bp%20III.&query_place_id=ChIJ06G_PwrZQUcRbvKB4NXK3UM,gumiszerviz,III. kerület – gumiabroncs-szaküzlet
"Abroncs Kereskedőház AKH - Batthyány utca - Gumiszerviz, Autószerviz",Gumiabroncs-szerviz,"Budapest, Batthyány u. 70, 1039 Magyarország",Budapest,III. kerület,1039,+36 1 371 3333,info@gumi.hu,info@gumi.hu,https://gumi.hu/szerviz/akh-batthyany-utca-gumiszerviz,gumi.hu,4.6,405,451.0,ChIJheqzuNzZQUcRyVWLYpoxad0,https://www.google.com/maps/search/?api=1&query=Abroncs%20Keresked%C5%91h%C3%A1z%20AKH%20-%20Batthy%C3%A1ny%20utca%20-%20Gumiszerviz%2C%20Aut%C3%B3szerviz&query_place_id=ChIJheqzuNzZQUcRyVWLYpoxad0,autószerviz,III. kerület – gumiabroncs-szerviz
CAR-GO Autószerviz,Autójavító,"Budapest, Fehérvári út 144-12-es épület, 1116 Magyarország",Budapest,XI. kerület,1116,+36 70 630 9001,szerviz@car-go.hu,szerviz@car-go.hu,http://www.car-go.hu/,car-go.hu,4.7,401,448.0,ChIJRfUO-5vdQUcRvmDpo7Yu_LM,https://www.google.com/maps/search/?api=1&query=CAR-GO%20Aut%C3%B3szerviz&query_place_id=ChIJRfUO-5vdQUcRvmDpo7Yu_LM,fék javítás,XI. kerület – autójavító
Magyar Autóklub Szerviz- és vizsgapont,Autószerelő,"Budapest, Budaörsi út 138, 1112 Magyarország",Budapest,XI. kerület,1112,+36 1 310 2958,web@autoklub.hu,web@autoklub.hu,https://www.autoklub.hu/,autoklub.hu,4.3,391,434.0,ChIJBXPdvefdQUcR5hiCz8j0qOE,https://www.google.com/maps/search/?api=1&query=Magyar%20Aut%C3%B3klub%20Szerviz-%20%C3%A9s%20vizsgapont&query_place_id=ChIJBXPdvefdQUcR5hiCz8j0qOE,műszaki vizsga,XI. kerület – autószerelő
Schirger Gumi a Gumisch,Autógumi,"Budapest, Timur u. 82, 1162 Magyarország",Budapest,XVI. kerület,1162,+36 1 409 5175,Schirger.Peter@gumisch.hu,Schirger.Peter@gumisch.hu,http://www.gumisch.hu/,gumisch.hu,4.9,360,409.0,ChIJaapewx_FQUcRdFPdiw2l3MI,https://www.google.com/maps/search/?api=1&query=Schirger%20Gumi%20a%20Gumisch&query_place_id=ChIJaapewx_FQUcRdFPdiw2l3MI,gumi csere,XVI. kerület – autógumi
FÁBER TEAM Autószerviz,Autójavító,"Budapest, Klapka György u. 15, 1154 Magyarország",Budapest,XV. kerület,1154,+36 20 979 9039,info@faberteam.hu,info@faberteam.hu;karosszeriamunkafelvetel@faberteam.hu;info@markafuggetlenautoszerviz.hu;szervizmunkafelvetel@faberteam.hu;karrendezes@faberteam.hu,http://faberteam.hu/,faberteam.hu,4.8,357,405.0,ChIJpeUqhfnaQUcR90Rzqed_pNI,https://www.google.com/maps/search/?api=1&query=F%C3%81BER%20TEAM%20Aut%C3%B3szerviz&query_place_id=ChIJpeUqhfnaQUcR90Rzqed_pNI,autó szerviz,XV. kerület – autójavító
Bojtár33 Műszaki Vizsgaállomás,Autóellenőrző állomás,"Budapest, Bojtár u. 33, 1037 Magyarország",Budapest,III. kerület,1037,+36 20 213 0843,info@bojtar33.hu,info@bojtar33.hu,https://www.bojtar33.hu/,bojtar33.hu,4.8,353,401.0,ChIJA8ibezjYQUcRdhRbFhRBd-4,https://www.google.com/maps/search/?api=1&query=Bojt%C3%A1r33%20M%C5%B1szaki%20Vizsga%C3%A1llom%C3%A1s&query_place_id=ChIJA8ibezjYQUcRdhRbFhRBd-4,műszaki vizsga,III. kerület – autóellenőrző állomás
Gumi-Felni autójavító kft,Gumiabroncs-szaküzlet,"Budapest, II. Rákóczi Ferenc út 320, 1214 Magyarország",Budapest,XXI. kerület,1214,+36 70 363 5888,csepelgumi@gmail.com,csepelgumi@gmail.com,https://gumifelni.hu/,gumifelni.hu,4.6,346,392.0,ChIJXTEnXcznQUcRQsR9zEMty7Q,https://www.google.com/maps/search/?api=1&query=Gumi-Felni%20aut%C3%B3jav%C3%ADt%C3%B3%20kft&query_place_id=ChIJXTEnXcznQUcRQsR9zEMty7Q,gumiszerviz,XXI. kerület – gumiabroncs-szaküzlet
Schiller Autó Család,Autószerelő,"Budapest, Váci út 119/C, 1044 Magyarország",Budapest,IV. kerület,1044,+36 20 858 0420,barabas.marton@schiller.hu,barabas.marton@schiller.hu;feher.lajos@schiller.hu;toth.gabor2@schiller.hu;info.lexus@schiller.hu,https://schiller.hu/,schiller.hu,4.4,338,382.0,ChIJ9xWMVcTbQUcRJmnmhjSF6TM,https://www.google.com/maps/search/?api=1&query=Schiller%20Aut%C3%B3%20Csal%C3%A1d&query_place_id=ChIJ9xWMVcTbQUcRJmnmhjSF6TM,autó szerviz,IV. kerület – autószerelő
Duna Autó Škoda márkakereskedés,Autószerelő,"Budapest, Szőlőkert u. 12, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 801 4222,info@dunaauto.hu,info@dunaauto.hu,http://dunaauto.hu/skoda,dunaauto.hu,4.6,327,373.0,ChIJLWEjrXPZQUcRl8tJEF3FOOE,https://www.google.com/maps/search/?api=1&query=Duna%20Aut%C3%B3%20%C5%A0koda%20m%C3%A1rkakeresked%C3%A9s&query_place_id=ChIJLWEjrXPZQUcRl8tJEF3FOOE,autó szerviz,III. kerület – autószerelő
AKH - Gumiszerviz,Gumiabroncs-szerviz,"Budapest, Árpád fejedelem útja 99, 1033 Magyarország",Budapest,III. kerület,1033,+36 1 371 3333,info@gumi.hu,info@gumi.hu,https://gumi.hu/szerviz/akh-arpad-fejedelem-utja-gumiszerviz,gumi.hu,4.3,315,358.0,ChIJuShRrVjZQUcRQpuj4o5dX7M,https://www.google.com/maps/search/?api=1&query=AKH%20-%20Gumiszerviz&query_place_id=ChIJuShRrVjZQUcRQpuj4o5dX7M,gumiszerviz,III. kerület – gumiabroncs-szerviz
Kék Hold S.E. Kft,Gumiabroncs-szaküzlet,"Budapest, 1038, Szentendrei út 281, 1039 Magyarország",Budapest,III. kerület,1039,+36 20 471 6071,info@kekhold.hu,info@kekhold.hu,http://www.kekhold.hu/,kekhold.hu,4.5,307,352.0,ChIJn3wv7sDZQUcRsJwwHlURK0c,https://www.google.com/maps/search/?api=1&query=K%C3%A9k%20Hold%20S.E.%20Kft&query_place_id=ChIJn3wv7sDZQUcRsJwwHlURK0c,gumiszerviz,III. kerület – gumiabroncs-szaküzlet
Bosch Car Service - Óbuda,Autójavító,"Budapest, Ország út 6-8, 1039 Magyarország",Budapest,III. kerület,1039,+36 70 935 9204,info@boschcarserviceobuda.hu,info@boschcarserviceobuda.hu,http://www.boschcarserviceobuda.hu/,boschcarserviceobuda.hu,4.5,294,339.0,ChIJVdUBPWTXQUcRbP3ovgJebAU,https://www.google.com/maps/search/?api=1&query=Bosch%20Car%20Service%20-%20%C3%93buda&query_place_id=ChIJVdUBPWTXQUcRbP3ovgJebAU,autószerviz,III. kerület – autójavító
Marsopont,Gumiabroncs-szaküzlet,"Budapest, Arany János u. 2-6, 1044 Magyarország",Budapest,IV. kerület,1044,+36 42 204 080,ugyfelszolgalat@marso.hu,ugyfelszolgalat@marso.hu,http://www.marso.hu/,marso.hu,4.2,296,338.0,ChIJHwdGUSTaQUcR2edBuTIbP2Q,https://www.google.com/maps/search/?api=1&query=Marsopont&query_place_id=ChIJHwdGUSTaQUcR2edBuTIbP2Q,autó szerviz,IV. kerület – gumiabroncs-szaküzlet
Bálbett Kft,Autójavító,"Budapest, Nagykőrösi út 94, 1188 Magyarország",Budapest,XVIII. kerület,1188,+36 70 946 4387,balbett2@gmail.com,balbett2@gmail.com,http://balbett.hu/,balbett.hu,4.6,286,332.0,ChIJ7eOcOxnqQUcRaqe-9ufRrgc,https://www.google.com/maps/search/?api=1&query=B%C3%A1lbett%20Kft&query_place_id=ChIJ7eOcOxnqQUcRaqe-9ufRrgc,autó szerviz,XVIII. kerület – autójavító
Duna Autó Nissan,Autószerelő,"Budapest, Kunigunda útja 56, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 801 4131,info@dunaauto.hu,info@dunaauto.hu,http://dunaauto.hu/nissan,dunaauto.hu,4.4,287,331.0,ChIJLVGpiXLZQUcR-RhgjIVudQg,https://www.google.com/maps/search/?api=1&query=Duna%20Aut%C3%B3%20Nissan&query_place_id=ChIJLVGpiXLZQUcR-RhgjIVudQg,autó szerviz,III. kerület – autószerelő
Hegedűs Gumiszerviz,Gumiabroncs-szerviz,"Budapest, Határ út 23, 1203 Magyarország",Budapest,XX. kerület,1203,+36 1 283 1218,info@hegedusgumi.hu,info@hegedusgumi.hu;hegedus.istvan@t-online.hu,http://www.hegedusgumi.hu/about.php,hegedusgumi.hu,4.4,287,331.0,ChIJK99Uf0vdQUcRzkkO4AV_IXw,https://www.google.com/maps/search/?api=1&query=Heged%C5%B1s%20Gumiszerviz&query_place_id=ChIJK99Uf0vdQUcRzkkO4AV_IXw,gumi csere,XX. kerület – gumiabroncs-szerviz
Príma Autóklíma Bt.,Autószerelő,"Budapest, Keresztúri út 116, 1106 Magyarország",Budapest,X. kerület,1106,+36 1 262 6814,primaklima@t-online.hu,primaklima@t-online.hu,http://www.primaklima.hu/,primaklima.hu,4.6,281,327.0,ChIJp86Iz2XDQUcRvftes_j3cMw,https://www.google.com/maps/search/?api=1&query=Pr%C3%ADma%20Aut%C3%B3kl%C3%ADma%20Bt.&query_place_id=ChIJp86Iz2XDQUcRvftes_j3cMw,autóklíma szerviz,X. kerület – autószerelő
"Verdavizsga Kft. - Műszaki vizsga, Autószerviz, Hibrid autószerviz",Autójavító,"Budapest, József u. 107, 1161 Magyarország",Budapest,XVI. kerület,1161,+36 20 313 1436,info@verdavizsga.hu,info@verdavizsga.hu;verdavizsga@gmail.com,https://www.verdavizsga.hu/,verdavizsga.hu,4.8,278,326.0,ChIJKXs1h8vEQUcR-BkH_Dq6k9Y,https://www.google.com/maps/search/?api=1&query=Verdavizsga%20Kft.%20-%20M%C5%B1szaki%20vizsga%2C%20Aut%C3%B3szerviz%2C%20Hibrid%20aut%C3%B3szerviz&query_place_id=ChIJKXs1h8vEQUcR-BkH_Dq6k9Y,autószerviz,XVI. kerület – autójavító
H.N.H. Autószerviz Kereskedelmi és Szolgáltató Kft.,Autószerelő,"Budapest, Aporháza u. 61, 1152 Magyarország",Budapest,XV. kerület,1152,+36 1 271 0016,hnh@hnhautoszerviz.hu,hnh@hnhautoszerviz.hu,http://hnhautoszerviz.hu/,hnhautoszerviz.hu,4.6,272,318.0,ChIJr7CW2vPaQUcR5gdsQtDgTfw,https://www.google.com/maps/search/?api=1&query=H.N.H.%20Aut%C3%B3szerviz%20Kereskedelmi%20%C3%A9s%20Szolg%C3%A1ltat%C3%B3%20Kft.&query_place_id=ChIJr7CW2vPaQUcR5gdsQtDgTfw,autó szerviz,XV. kerület – autószerelő
"Toy-tech Toyota, Lexus Autószerviz, és Hybrid specialista",Autójavító,"Budapest, Vasvári Pál u. 11, 1047 Magyarország",Budapest,IV. kerület,1047,+36 70 946 8598,info@toy-tech.hu,info@toy-tech.hu;support@dotroll.com,https://toy-tech.hu/,toy-tech.hu,4.8,263,311.0,ChIJGblouaDdQUcRR3OwUt0_HyQ,https://www.google.com/maps/search/?api=1&query=Toy-tech%20Toyota%2C%20Lexus%20Aut%C3%B3szerviz%2C%20%C3%A9s%20Hybrid%20specialista&query_place_id=ChIJGblouaDdQUcRR3OwUt0_HyQ,autószerviz,IV. kerület – autójavító
Újbudai Autó Doki,Autószerelő,"Budapest, Hengermalom út 17, 1117 Magyarország",Budapest,XI. kerület,1117,+36 20 916 0000,pest@auto-doki.hu,query@finances.com;pest@auto-doki.hu;buda@auto-doki.hu;ujbuda@auto-doki.hu,http://auto-doki.hu/,auto-doki.hu,4.5,258,303.0,ChIJa_0qTSTcQUcRAQAJr9ChYNw,https://www.google.com/maps/search/?api=1&query=%C3%9Ajbudai%20Aut%C3%B3%20Doki&query_place_id=ChIJa_0qTSTcQUcRAQAJr9ChYNw,gumi csere,XI. kerület – autószerelő
Független KIA szerviz - Lurdi szerviz Budapest,Autószerelő,"Budapest, Pékerdő u. 1, 1097 Magyarország",Budapest,IX. kerület,1097,+36 20 252 3969,arvai.kiaszerviz@t-online.hu,arvai.kiaszerviz@t-online.hu,https://fuggetlenkialurdy.com/,fuggetlenkialurdy.com,4.8,255,303.0,ChIJ55d4bh7dQUcRUP3LQF9OVXg,https://www.google.com/maps/search/?api=1&query=F%C3%BCggetlen%20KIA%20szerviz%20-%20Lurdi%20szerviz%20Budapest&query_place_id=ChIJ55d4bh7dQUcRUP3LQF9OVXg,fék javítás,IX. kerület – autószerelő
Duna Autó Volvo,Autószerelő,"Budapest, Kunigunda útja 56, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 801 4265,info@dunaauto.hu,info@dunaauto.hu,http://dunaauto.hu/volvo,dunaauto.hu,4.5,256,301.0,ChIJ1Rpmm3LZQUcRGVBZx5jnVeA,https://www.google.com/maps/search/?api=1&query=Duna%20Aut%C3%B3%20Volvo&query_place_id=ChIJ1Rpmm3LZQUcRGVBZx5jnVeA,autó szerviz,III. kerület – autószerelő
